Date,Light Intensity
"November 29, 2021 at 12:03AM",0
"November 29, 2021 at 12:33AM",0
"November 29, 2021 at 01:03AM",0
"November 29, 2021 at 01:33AM",0
"November 29, 2021 at 02:03AM",0
"November 29, 2021 at 02:32AM",0
"November 29, 2021 at 03:02AM",0
"November 29, 2021 at 03:32AM",0
"November 29, 2021 at 04:02AM",0
"November 29, 2021 at 04:32AM",0
"November 29, 2021 at 05:02AM",0
"November 29, 2021 at 05:32AM",0
"November 29, 2021 at 06:02AM",0
"November 29, 2021 at 06:32AM",0
"November 29, 2021 at 07:01AM",0
"November 29, 2021 at 07:31AM",937
"November 29, 2021 at 08:01AM",2706
"November 29, 2021 at 08:31AM",3233
"November 29, 2021 at 09:01AM",3472
"November 29, 2021 at 09:31AM",3629
"November 29, 2021 at 10:01AM",3729
"November 29, 2021 at 10:31AM",3728
"November 29, 2021 at 11:01AM",3726
"November 29, 2021 at 11:31AM",3783
"November 29, 2021 at 12:31PM",3856
"November 29, 2021 at 01:01PM",3839
"November 29, 2021 at 01:30PM",3792
"November 29, 2021 at 02:00PM",3751
"November 29, 2021 at 02:30PM",3521
"November 29, 2021 at 03:00PM",3555
"November 29, 2021 at 03:30PM",2672
"November 29, 2021 at 04:00PM",1483
"November 29, 2021 at 04:30PM",0
"November 29, 2021 at 05:00PM",0
"November 29, 2021 at 05:30PM",0
"November 29, 2021 at 05:59PM",0
"November 29, 2021 at 06:29PM",0
"November 29, 2021 at 06:59PM",0
"November 29, 2021 at 07:29PM",0
"November 29, 2021 at 07:59PM",0
"November 29, 2021 at 08:29PM",0
"November 29, 2021 at 08:59PM",0
"November 29, 2021 at 09:29PM",0
"November 29, 2021 at 09:59PM",0
"November 29, 2021 at 10:29PM",0
"November 29, 2021 at 10:58PM",0
"November 29, 2021 at 11:28PM",0
"November 29, 2021 at 11:58PM",0
"November 30, 2021 at 12:28AM",0
"November 30, 2021 at 12:58AM",0
"November 30, 2021 at 01:28AM",0
"November 30, 2021 at 01:58AM",0
"November 30, 2021 at 02:28AM",0
"November 30, 2021 at 02:58AM",0
"November 30, 2021 at 03:28AM",0
"November 30, 2021 at 03:58AM",0
"November 30, 2021 at 04:27AM",0
"November 30, 2021 at 04:57AM",0
"November 30, 2021 at 05:27AM",0
"November 30, 2021 at 05:57AM",0
"November 30, 2021 at 06:27AM",0
"December 1, 2021 at 06:49PM",0
"December 1, 2021 at 07:19PM",0
"December 1, 2021 at 07:49PM",0
"December 1, 2021 at 08:18PM",0
"December 1, 2021 at 08:48PM",0
"December 1, 2021 at 09:18PM",0
"December 1, 2021 at 09:48PM",0
"December 1, 2021 at 10:18PM",0
"December 1, 2021 at 10:48PM",0
"December 1, 2021 at 11:18PM",0
"December 1, 2021 at 11:48PM",0
"December 2, 2021 at 12:17AM",0
"December 2, 2021 at 12:47AM",0
"December 2, 2021 at 01:17AM",0
"December 2, 2021 at 01:47AM",0
"December 2, 2021 at 02:17AM",0
"December 2, 2021 at 02:47AM",0
"December 2, 2021 at 03:17AM",0
"December 2, 2021 at 03:47AM",0
"December 2, 2021 at 04:17AM",0
"December 2, 2021 at 04:46AM",0
"December 2, 2021 at 05:16AM",0
"December 2, 2021 at 05:46AM",0
"December 2, 2021 at 06:16AM",0
"December 2, 2021 at 06:46AM",0
"December 2, 2021 at 07:16AM",0
"December 2, 2021 at 07:46AM",1487
"December 2, 2021 at 08:16AM",2802
"December 2, 2021 at 08:46AM",3253
"December 2, 2021 at 09:15AM",3379
"December 2, 2021 at 09:45AM",3443
"December 2, 2021 at 10:15AM",3477
"December 2, 2021 at 10:45AM",3504
"December 2, 2021 at 11:15AM",3513
"December 2, 2021 at 11:45AM",3531
"December 2, 2021 at 12:15PM",3540
